Sample	D-1	D0	D1	D2	D3	D4	D5	plaqueAssayTiter
PBS+IVR180	99.56896552	100	99.56896552	100	94.82758621	90.51724138	84.48275862	4.00E+06
PBS+IVR180	98.73417722	100	96.62447257	94.93670886	94.93670886	95.78059072	92.82700422	1.20E+06
PBS+IVR180	99.16666667	100	96.66666667	95.83333333	92.91666667	90.83333333	86.25	5.20E+06
PBS+IVR180	98.0620155	100	96.12403101	96.89922481	94.57364341	94.96124031	90.69767442	2.40E+06
PBS+IVR180	96.92307692	100	96.15384615	96.15384615	93.84615385	93.07692308	86.53846154	3.20E+06
Piceatannol+IVR180	92.76595745	100	96.59574468	97.0212766	96.17021277	94.46808511	88.5106383	2.00E+06
Piceatannol+IVR180	93.97590361	100	96.38554217	97.18875502	98.79518072	100.4016064	97.99196787	8.80E+05
Piceatannol+IVR180	93.67088608	100	97.0464135	97.89029536	94.93670886	94.93670886	90.29535865	1.60E+06
Piceatannol+IVR180	94.53125	100	97.265625	98.828125	98.4375	96.875	94.53125	1.20E+06
TriacsinC+IVR180	100.4291845	100	96.56652361	94.42060086	91.41630901	87.12446352	80.68669528	2.00E+06
TriacsinC+IVR180	97.6	100	96.4	96	91.2	86.4	79.2	2.80E+06
TriacsinC+IVR180	98.87218045	100	92.85714286	92.10526316	89.09774436	86.46616541	80.45112782	4.00E+06
TriacsinC+IVR180	101.6129032	100	94.75806452	94.35483871	89.91935484	85.88709677	78.62903226	3.60E+06
PBS+PBS	100.8583691	100	100.4291845	97.4248927	97.85407725	96.56652361	97.85407725	2.00E+01
PBS+PBS	97.43589744	100	97.00854701	95.2991453	95.2991453	94.87179487	93.16239316	2.00E+01
PBS+PBS	97.77777778	100	97.33333333	96.88888889	96.44444444	96.44444444	95.55555556	2.00E+01
PBS+PBS	99.59349593	100	99.59349593	97.15447154	96.74796748	96.74796748	97.15447154	2.00E+01
PBS+PBS	98.07692308	100	96.92307692	98.07692308	96.15384615	96.15384615	95.76923077	2.00E+01
Piceatannol+PBS	102.5862069	100	97.84482759	100	102.1551724	102.1551724	101.2931034	2.00E+01
Piceatannol+PBS	98.72881356	100	97.88135593	98.72881356	99.57627119	99.57627119	100.8474576	2.00E+01
Piceatannol+PBS	98.7654321	100	95.0617284	95.88477366	97.94238683	100.4115226	100	2.00E+01
Piceatannol+PBS	100.41841	100	96.23430962	96.23430962	97.90794979	98.74476987	98.74476987	2.00E+01
Piceatannol+PBS	100.8264463	100	97.10743802	97.9338843	99.17355372	99.17355372	97.9338843	2.00E+01
TriacsinC+PBS	95.45454545	100	98.18181818	102.2727273	104.0909091	102.7272727	102.2727273	2.00E+01
TriacsinC+PBS	90.90909091	100	98.5645933	99.5215311	97.1291866	97.1291866	97.6076555	2.00E+01
TriacsinC+PBS	91.39344262	100	99.18032787	102.8688525	102.4590164	101.2295082	100.8196721	2.00E+01
TriacsinC+PBS	91.47982063	100	98.65470852	100.896861	100	100	99.55156951	2.00E+01
TriacsinC+PBS	90.20408163	100	94.28571429	96.73469388	97.55102041	97.14285714	97.55102041	2.00E+01
